contract_address,chain,protocol,method_id,method,absolute_executions,%,cum %
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,uniswap,0x3593564c,swap,17693,9.18%,9.18%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,weth,0xd0e30db0,-,2614,1.36%,10.54%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x12aa3caf,swap,2532,1.31%,11.86%
0x084eff3d20b648e81c7c99cc09b19055c3ebae03,op,bakedbeanmgmt,0x608d60eb,-,1905,0.99%,12.84%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x0502b1c5,swap,1820,0.94%,13.79%
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x7ff36ab5,swap,1740,0.90%,14.69%
0x0000000000a39bb272e79075ade125fd351887ac,eth,blur bidding,0xd0e30db0,deposit,1672,0.87%,15.56%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0xda815cb5,take bid,1661,0.86%,16.42%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,weth,0x2e1a7d4d,withdraw,1573,0.82%,17.24%
0x0000000000a39bb272e79075ade125fd351887ac,eth,blur bidding,0x2e1a7d4d,withdraw,1477,0.77%,18.01%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,1inch,0x12aa3caf,swap,1337,0.69%,18.70%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0xd9627aa4,?,1149,0.60%,19.30%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0xe449022e,swap,1126,0.58%,19.88%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x54e3f31b,swap,1082,0.56%,20.44%
0xcf205808ed36593aa40a44f10c7f7c2f67d4a4d4,base,friend tech,0x6945b123,?,1070,0.56%,21.00%
0x754e78bc0f7b487d304552810a5254497084970c,matic,phi claim,0x0c01a2fd,?,1066,0.55%,21.55%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0x00000000,fulfill order,1052,0.55%,22.10%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0xa94e78ef,?,1003,0.52%,22.62%
0xbff4cbe9231c16fb79c831c7bcccd6a6c5b89e0c,matic,DAFContributors (DAFc),0x5c90bf79,-,943,0.49%,23.11%
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,bsc,pancakeswap,0x5ae401dc,multicall,938,0.49%,23.59%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xf2d12b12,fulfill order,892,0.46%,24.06%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0xe263967e,?,828,0.43%,24.49%
0xcf205808ed36593aa40a44f10c7f7c2f67d4a4d4,base,friend tech,0xb51d0534,?,793,0.41%,24.90%
0x0c6134abc08a1eafc3e2dc9a5ad023bb08da86c3,arb,firebird,0x7c025200,swap,791,0.41%,25.31%
0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,op,velodrome router,0xcac88ea9,swap,791,0.41%,25.72%
0x00000f312c54d0dd25888ee9cdc3dee988700000,eth,-,0x065573f8,-,789,0.41%,26.13%
0xc36442b4a4522e871399cd717abdd847ab11fe88,eth,uniswap v3 position mngr,0xac9650d8,multicall,771,0.40%,26.53%
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,arb,uniswap,0x3593564c,swap,765,0.40%,26.93%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xfd9f1e10,cancel,736,0.38%,27.31%
0x41c914ee0c7e1a5edcd0295623e6dc557b5abf3c,op,velodrome voter,0x7715ee75,claim,724,0.38%,27.68%
0x9d4736ec60715e71afe72973f7885dcbc21ea99b,op,velodrome rewards,0x379607f5,claim,720,0.37%,28.06%
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,arb,uniswap,0x3593564c,swap,692,0.36%,28.42%
0x00000f312c54d0dd25888ee9cdc3dee988700000,arb,-,0x065573f8,-,675,0.35%,28.77%
0xfe96719aa7ba8fab02e9d3123c0c40c23945557c,bsc,-,0x2270223a,-,668,0.35%,29.11%
0x1553d0b64a99ba62c61378074e034dc39741898d,arb,?,0xcfed973a,?,655,0.34%,29.45%
0x9992f660137979c1ca7f8b119cd16361594e3681,arb,silo,0x4e1028ba,"deposit, withdraw, borrow, repay",650,0.34%,29.79%
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0xcac88ea9,swap,630,0.33%,30.12%
0x198ef79f1f515f02dfe9e3115ed9fc07183f02fc,base,uniswap,0x3593564c,swap,573,0.30%,30.42%
0x00000f312c54d0dd25888ee9cdc3dee988700000,bsc,?,0x065573f8,?,569,0.30%,30.71%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,1inch,0xe449022e,swap,569,0.30%,31.01%
0x0be808376ecb75a5cf9bb6d237d16cd37893d904,base,sushiswap,0x2646478b,swap,567,0.29%,31.30%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,bsc,openocean,0x90411a32,swap,538,0.28%,31.58%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x7034d120,-,527,0.27%,31.85%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x70bce2d6,-,524,0.27%,32.13%
0x7c68c7866a64fa2160f78eeae12217ffbf871fa8,arb,?,0xac9650d8,multicall,504,0.26%,32.39%
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x18cbafe5,swap,489,0.25%,32.64%
0x000000000022d473030f116ddee9f6b43ac78ba3,eth,uniswap,0x0d58b1db,,485,0.25%,32.89%
0x41c914ee0c7e1a5edcd0295623e6dc557b5abf3c,op,velodrome voter,0x7ac09bf7,vote,482,0.25%,33.14%
