contract_address,chain,protocol,method_id,method,avg_non_null_user_balance,absolute_executions,%,cum %
0x0a88bc5c32b684d467b43c06d9e0899efeaf59df,arb,,0x64617461,,19047.7409,24803,19.45%,19.45%
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,,0x3593564c,,120220.412,5981,4.69%,24.13%
0x9419ebc42ef5be9add0f6036eba6238db936a03e,bsc,,0x64617461,,0,4118,3.23%,27.36%
0x6ff1497328dcecd7b2d26e80353cfa8f240dcf1a,matic,,0x64617461,,1995.90435,2528,1.98%,29.35%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0xa9059cbb,,317614.728,2092,1.64%,30.99%
0x9419ebc42ef5be9add0f6036eba6238db936a03e,avax,,0x64617461,,0,1948,1.53%,32.51%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0xa9059cbb,,647399.13,1058,0.83%,33.34%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0xd0e30db0,,347079.393,1047,0.82%,34.16%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0x095ea7b3,,304227.396,1043,0.82%,34.98%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,,0x095ea7b3,,175449.887,1009,0.79%,35.77%
0x0000000000a39bb272e79075ade125fd351887ac,eth,,0xd0e30db0,,495904.146,918,0.72%,36.49%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0x095ea7b3,,317442.441,895,0.70%,37.19%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0xda815cb5,,87789.3105,871,0.68%,37.88%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x12aa3caf,,380840.535,860,0.67%,38.55%
0x0000000000a39bb272e79075ade125fd351887ac,eth,,0x2e1a7d4d,,365852.306,761,0.60%,39.15%
0xa80eede0d0518777201b52ac9fe484c296998549,eth,,0x4d474898,,280539.048,752,0.59%,39.74%
0xbdfcb648cd1ea2e0e1bde7345ffb62ae6d3937ba,avax,,0x64617461,,29108.2754,718,0.56%,40.30%
0xfe96719aa7ba8fab02e9d3123c0c40c23945557c,bsc,,0x2270223a,,0,668,0.52%,40.82%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0xe449022e,,409233.622,641,0.50%,41.33%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,,0x12aa3caf,,380840.535,639,0.50%,41.83%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x095ea7b3,,311938.762,628,0.49%,42.32%
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,arb,,0x3593564c,,174982.21,603,0.47%,42.79%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x2e1a7d4d,,160643.908,592,0.46%,43.26%
0xe73d53e3a982ab2750a0b76f9012e18b256cc243,eth,,0x1249c58b,,137380.428,577,0.45%,43.71%
0x00000f312c54d0dd25888ee9cdc3dee988700000,eth,,0x065573f8,,41295.7936,553,0.43%,44.14%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0xa9059cbb,,358213.331,535,0.42%,44.56%
0x4095d4c121300308df6e2d3f5920f07a04773ab7,bsc,,0x64617461,,0,528,0.41%,44.97%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0x095ea7b3,,385336.165,525,0.41%,45.39%
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,bsc,,0x5ae401dc,,108871.161,520,0.41%,45.79%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,,0x54e3f31b,,369598.527,486,0.38%,46.18%
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,eth,,0x5023b4df,,196322.279,467,0.37%,46.54%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x0502b1c5,,433054.78,461,0.36%,46.90%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,,0x095ea7b3,,206829.471,445,0.35%,47.25%
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,eth,,0x04e45aaf,,196322.279,441,0.35%,47.60%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,,0xd9627aa4,,659257.992,433,0.34%,47.94%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,,0xe263967e,,271380.143,405,0.32%,48.25%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,,0xa9059cbb,,213739.993,395,0.31%,48.56%
0x000000000022d473030f116ddee9f6b43ac78ba3,eth,,0x0d58b1db,,41295.7936,392,0.31%,48.87%
0x7c68c7866a64fa2160f78eeae12217ffbf871fa8,arb,,0xac9650d8,,844430.769,387,0.30%,49.17%
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,,0x095ea7b3,,546077.834,380,0.30%,49.47%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,,0x00000000,,316756.383,363,0.28%,49.76%
0x000000000022d473030f116ddee9f6b43ac78ba3,eth,,0x2a2d80d1,,41295.7936,353,0.28%,50.03%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,,0xe449022e,,409233.622,348,0.27%,50.31%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0x7034d120,,236523.807,334,0.26%,50.57%
0xde342a3e269056fc3305f9e315f4c40d917ba521,eth,,0xa9059cbb,,3912101.67,331,0.26%,50.83%
0x084eff3d20b648e81c7c99cc09b19055c3ebae03,op,,0x608d60eb,,1034401.92,331,0.26%,51.09%
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,,0xb066ea7c,,70197.2409,330,0.26%,51.35%
0x55d398326f99059ff775485246999027b3197955,bsc,,0x095ea7b3,,212856.444,315,0.25%,51.59%
0x912ce59144191c1204e64559fe8253a0e49e6548,arb,,0x095ea7b3,,570194.067,312,0.24%,51.84%
0xc36442b4a4522e871399cd717abdd847ab11fe88,eth,,0xac9650d8,,1386053.51,288,0.23%,52.06%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,,0xa94e78ef,,599616.959,275,0.22%,52.28%
0x55d398326f99059ff775485246999027b3197955,bsc,,0xa9059cbb,,110910.077,262,0.21%,52.48%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,,0xa9059cbb,,239097.599,260,0.20%,52.69%
0x09bd2a33c47746ff03b86bce4e885d03c74a8e8c,arb,,0x2646478b,,117414.815,255,0.20%,52.89%
0x5155704bb41fde152ad3e1ae402e8e8b9ba335d3,zksync,,0xa2a9539c,,14389.3693,246,0.19%,53.08%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,arb,,0x415565b0,,785523.87,244,0.19%,53.27%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,,0xf2d12b12,,86461.8342,243,0.19%,53.46%
0x912ce59144191c1204e64559fe8253a0e49e6548,arb,,0x23b872dd,,41295.7936,242,0.19%,53.65%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0x70bce2d6,,86743.8236,238,0.19%,53.84%
0x754e78bc0f7b487d304552810a5254497084970c,matic,,0x0c01a2fd,,78895.6133,227,0.18%,54.02%
0x2791bca1f2de4661ed88a30c99a7a9449aa84174,matic,,0x095ea7b3,,81159.4332,218,0.17%,54.19%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,,0x3598d8ab,,1100923.99,214,0.17%,54.36%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,bsc,,0x90411a32,,565393.685,210,0.16%,54.52%
0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,matic,,0x095ea7b3,,212641.743,210,0.16%,54.69%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,eth,,0xe21fd0e9,,400029.301,207,0.16%,54.85%
0xc2132d05d31c914a87c6611c10748aeb04b58e8f,matic,,0x095ea7b3,,378994.679,204,0.16%,55.01%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,,0x6af479b2,,1338693.68,202,0.16%,55.17%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,,0xfd9f1e10,,483579.477,197,0.15%,55.32%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,arb,,0x90411a32,,565393.685,196,0.15%,55.47%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,,0x803ba26d,,1237438.97,194,0.15%,55.63%
0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,eth,,0x0162e2d0,,1613.67738,193,0.15%,55.78%
0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,eth,,0x75713a08,,10501.8888,189,0.15%,55.93%
0x0a88bc5c32b684d467b43c06d9e0899efeaf59df,base,,0x64617461,,19047.7409,189,0.15%,56.07%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,,0x0b86a4c1,,738702.711,187,0.15%,56.22%
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,arb,,0x4630a0d8,,76818.797,186,0.15%,56.37%
0x7573933eb12fa15d5557b74fdaff845b3baf0ba2,matic,,0x350f7198,,17086.0595,186,0.15%,56.51%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,,0x8553b234,,224759.419,185,0.15%,56.66%
0x55d398326f99059ff775485246999027b3197955,bsc,,0x23b872dd,,20651.1374,183,0.14%,56.80%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,eth,,0x90411a32,,565393.685,180,0.14%,56.94%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,,0x619a309f,,50507.5071,180,0.14%,57.08%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0x23b872dd,,41295.7936,175,0.14%,57.22%
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,,0x2e1a7d4d,,592934.524,173,0.14%,57.36%
0x881d40237659c251811cec9c364ef91dc08d300c,eth,,0x5f575529,,69904.1701,172,0.13%,57.49%
0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,arb,,0x83bd37f9,,183445.591,171,0.13%,57.62%
0x643770e279d5d0733f21d6dc03a8efbabf3255b4,matic,,0x3593564c,,246156.212,170,0.13%,57.76%
0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,eth,,0x8b886bf2,,422541.002,170,0.13%,57.89%
0xc5cb997016c9a3ac91cbe306e59b048a812c056f,linea,,0xa2a9539c,,14389.3693,166,0.13%,58.02%
0x0000000000c2d145a2526bd8c716263bfebe1a72,eth,,0x32389b71,,490706.345,163,0.13%,58.15%
0xbff4cbe9231c16fb79c831c7bcccd6a6c5b89e0c,matic,,0x5c90bf79,,46641.6426,158,0.12%,58.27%
0x8ab2ff0116a279a99950c66a12298962d152b83c,eth,,0xa9059cbb,,1051803.95,152,0.12%,58.39%
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,bsc,,0x095ea7b3,,146255.742,150,0.12%,58.51%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,arb,,0xe21fd0e9,,400029.301,150,0.12%,58.63%
0x0c6134abc08a1eafc3e2dc9a5ad023bb08da86c3,arb,,0x7c025200,,258951.902,149,0.12%,58.74%
0xbff4cbe9231c16fb79c831c7bcccd6a6c5b89e0c,matic,,0xa6385803,,46641.6426,149,0.12%,58.86%
0x1e3f1f1ca8c62aabcb3b78d87223e988dfa3780e,arb,,0x738cf0b3,,167746.561,140,0.11%,58.97%
0x00000f312c54d0dd25888ee9cdc3dee988700000,arb,,0x065573f8,,41295.7936,140,0.11%,59.08%
0x135896de8421be2ec868e0b811006171d9df802a,eth,,0xd3454a35,,426056.772,138,0.11%,59.19%
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,eth,,0x095ea7b3,,593246.192,136,0.11%,59.30%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0x3925c3c3,,97370.1256,135,0.11%,59.40%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0x3f8fc233,,618452.778,132,0.10%,59.50%
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,,0x9ab6156b,,73566.8565,131,0.10%,59.61%
0xd5ff53f48f14e9409b581e41a4cddfe0e97dc724,arb,,0x64617461,,0,128,0.10%,59.71%
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,eth,,0xa9059cbb,,3270664.32,128,0.10%,59.81%
0xf6d1b85af155229acd7b523601148585a1ff67c6,matic,,0x2e4dbe8f,,610830.79,125,0.10%,59.91%
0x00000f312c54d0dd25888ee9cdc3dee988700000,bsc,,0x065573f8,,41295.7936,124,0.10%,60.00%
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,arb,,0x095ea7b3,,652174.87,121,0.09%,60.10%
0x912ce59144191c1204e64559fe8253a0e49e6548,arb,,0xd505accf,,23358.1234,120,0.09%,60.19%
0x9d4736ec60715e71afe72973f7885dcbc21ea99b,op,,0x379607f5,,2094186.54,119,0.09%,60.29%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,,0xe7efc178,,53919.1488,118,0.09%,60.38%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x2d9a56f6,,1175690,117,0.09%,60.47%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,matic,,0x415565b0,,785523.87,115,0.09%,60.56%
0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,matic,,0x095ea7b3,,286155.571,112,0.09%,60.65%
0x41c914ee0c7e1a5edcd0295623e6dc557b5abf3c,op,,0x7715ee75,,1998822.25,110,0.09%,60.73%
0x735adbbe72226bd52e818e7181953f42e3b0ff21,eth,,0xb1a1a882,,596713.681,108,0.08%,60.82%
0x514910771af9ca656af840dff83e8264ecf986ca,eth,,0xa9059cbb,,3613137.97,108,0.08%,60.90%
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,eth,,0x3d719cd9,,104184.626,107,0.08%,60.99%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,,0xc87df1c2,,112125.683,107,0.08%,61.07%
0x40a50cf069e992aa4536211b23f286ef88752187,eth,,0x322bba21,,133126.346,106,0.08%,61.15%
