contract_address,chain,protocol,method_id,method,avg_non_null_user_balance,absolute_executions,%,cum %
0xd5ff53f48f14e9409b581e41a4cddfe0e97dc724,avax,,0x64617461,,526.7767568,32520,16.74%,16.74%
0x0a88bc5c32b684d467b43c06d9e0899efeaf59df,arb,,0x64617461,,51197.5222,24741,12.74%,29.48%
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,,0x3593564c,,124644.1035,5669,2.92%,32.40%
0xcec194faf347ada0ef95b943ac86504e899873af,avax,,0x64617461,,38.86,5598,2.88%,35.28%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0xa9059cbb,,327993.684,4347,2.24%,37.52%
0x5d775caa7a0a56cd2d56a480b0f92e3900fe9722,eth,,0x21ea0c37,,36466.64,3231,1.66%,39.18%
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,base,,0x3593564c,,124644.1035,2188,1.13%,40.31%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0x095ea7b3,,311763.306,1302,0.67%,40.98%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0xa9059cbb,,549954.587,1228,0.63%,41.61%
0xb6b7f69411294ffea25a44610c0f22c3544d5d69,bsc,,0x21ea0c37,,36466.64,1165,0.60%,42.21%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0x095ea7b3,,349707.2248,1044,0.54%,42.75%
0xa80eede0d0518777201b52ac9fe484c296998549,eth,,0x4d474898,,435912.52,977,0.50%,43.25%
0x90c8e0f9441b6045b99c9f90aa4812f6ff26bbb1,eth,,0x21ea0c37,,36466.64,952,0.49%,43.74%
0x084eff3d20b648e81c7c99cc09b19055c3ebae03,op,,0x608d60eb,,1362627.95,916,0.47%,44.22%
0x0000000000a39bb272e79075ade125fd351887ac,eth,,0xd0e30db0,,77304.22881,911,0.47%,44.69%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,,0xda815cb5,,82002.70662,827,0.43%,45.11%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0xd0e30db0,,459763.0515,797,0.41%,45.52%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,,0x095ea7b3,,221239.3192,758,0.39%,45.91%
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,bsc,,0x5ae401dc,,127152.331,753,0.39%,46.30%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0xe449022e,,427128.3733,746,0.38%,46.68%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x12aa3caf,,422381.7508,719,0.37%,47.05%
0xbaf9c8ce65ffdf20019d5bfe980de8bc905db44e,eth,,0x21ea0c37,,36466.64,713,0.37%,47.42%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0xa9059cbb,,173411.237,683,0.35%,47.77%
0x5155704bb41fde152ad3e1ae402e8e8b9ba335d3,zksync,,0xa2a9539c,,57462.1606,666,0.34%,48.12%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x095ea7b3,,353046.3749,644,0.33%,48.45%
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,eth,,0xa9059cbb,,5978287.007,621,0.32%,48.77%
0xe73d53e3a982ab2750a0b76f9012e18b256cc243,eth,,0x1249c58b,,273340.7433,577,0.30%,49.06%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0x095ea7b3,,405963.5755,563,0.29%,49.35%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,,0x12aa3caf,,422381.7508,562,0.29%,49.64%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,,0x095ea7b3,,244300.5226,557,0.29%,49.93%
0x0000000000a39bb272e79075ade125fd351887ac,eth,,0x2e1a7d4d,,148712.9916,534,0.27%,50.20%
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,base,,0x3593564c,,198927.9587,520,0.27%,50.47%
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,base,,0x095ea7b3,,569262.5064,505,0.26%,50.73%
0x9b5def958d0f3b6955cbea4d5b7809b2fb26b059,zksync,,0xd7570e45,,182417.7456,499,0.26%,50.99%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,,0x54e3f31b,,429035.86,477,0.25%,51.23%
0x55d398326f99059ff775485246999027b3197955,bsc,,0x095ea7b3,,218495.7383,469,0.24%,51.48%
0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,zksync,,0x095ea7b3,,332943.9985,467,0.24%,51.72%
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,,0x095ea7b3,,565121.8891,450,0.23%,51.95%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x2e1a7d4d,,445000.4726,435,0.22%,52.17%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x0502b1c5,,506643.8184,427,0.22%,52.39%
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,,0xcac88ea9,,713919.1083,418,0.22%,52.61%
0x5e325eda8064b456f4781070c0738d849c824258,arb,,0x3593564c,,143050.974,411,0.21%,52.82%
0x19ceead7105607cd444f5ad10dd51356436095a1,base,,0x83bd37f9,,1348219.616,410,0.21%,53.03%
0xf5e67261cb357edb6c7719fefafaab280cb5e2a6,zksync,,0xd3115a8a,,1149519.425,398,0.20%,53.24%
