Chain,Contract Address,Count
Ethereum,0x220d87fe6cfb81c85faf921c86cb22fb81eb5049,1
Ethereum,0x893411580e590d62ddbca8a703d61cc4a8c7b2b9,2
Ethereum,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,1
Arbitrum,0x2f43c6475f1ecbd051ce486a9f3ccc4b03f3d713,1
Arbitrum,0x9c895ccdd1da452eb390803d48155e38f9fc2e4d,1
Arbitrum,0xaf88d065e77c8cc2239327c5edb3a432268e5831,37
Blast,0x20805b8e507fe8e399070958c288292755f5a533,2
Blast,0x4300000000000000000000000000000000000004,4
Blast,0x83d55e27b8033b6d5874cbb3c9252c4bfdb2bc75,1
Ethereum,0xb33ee37fefb55b3af4bb43715b3036a91d8104d3,1
Ethereum,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,1
Ethereum,0x6c814249a7116cf5cdcfe605b490cb2855e9f773,2
Ethereum,0xc9bae29f2200d7718166e8640698ccfaf8a0a6f6,2
Arbitrum,0x6c814249a7116cf5cdcfe605b490cb2855e9f773,1
Polygon,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,2
Arbitrum,0x3a23f943181408eac424116af7b7790c94cb97a5,1
Arbitrum,0xb890844b1efd59d04d69cfb50a7ea984df94b143,2
Arbitrum,0xdef1c0ded9bec7f1a1670819833240f027b25eff,1
Arbitrum,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,1
Arbitrum,0x49b1892421cfca971fcbaadcf176ef0a8733b34a,16
Arbitrum,0x12b8ac3041440bce01f12595bcb9c6b6ee113376,7
Ethereum,0x52528d0e3f50d4c3ee90de38f3d5ac5a402cbb83,1
Ethereum,0x4e911626fa378cc95fb1a26cc272c070ef79e4b7,1
Polygon,0xff04820c36759c9f5203021fe051239ad2dcca8a,1
Arbitrum,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,1
Arbitrum,0x30da1a8b1673db2eee02c72682097290b11325fd,2
Base,0xded6e72bde74c7840fade275c3afdb997be47bbf,1
Base,0x7d7afb74f54754d9b83bfe574c81c7c8cdbb32c1,1
Base,0x095be150335052d73cbfea6fafbf74222b5f2d00,1
Linea,0xae3abd96878dae32a5c8fadedd7151e0c5073a4b,1
Arbitrum,0x61d9aec5f2e0b08d7f2fde5f6856770a24401342,1
Arbitrum,0xda38aff9d34ff382f12a1de111a10491566b9876,1
Arbitrum,0x5e325eda8064b456f4781070c0738d849c824258,5
Arbitrum,0x4425742f1ec8d98779690b5a3a6276db85ddc01a,3
Arbitrum,0x32e707b2fa13851ae5a8d5d610b236ab3ad5687f,4
Arbitrum,0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8,1
Arbitrum,0xa6a147946facac9e0b99824870b36088764f969f,1
Arbitrum,0xe11f9786b06438456b044b3e21712228adcaa0d1,2
Arbitrum,0x00000000005bbb0ef59571e58418f9a4357b68a0,9
Arbitrum,0x8d164e0c662c9e199baac9e97b6a8664c75700ea,1
Base,0x1aed60a97192157fda7fb26267a439d523d09c5e,1
Base,0x35da1d5bb2fd021c215112aba2465c09433b65c4,2
Base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1
Base,0xef4fb24ad0916217251f553c0596f8edc630eb66,1
Ethereum,0x0b6613d5c2809fd20ef0ada385516e105e48db0d,3
Arbitrum,0xca94aeee3b1eff639d6c2d49f508ad96c51caba5,3
Ethereum,0x308861a430be4cce5502d0a12724771fc6daf216,1
Ethereum,0x35fa164735182de50811e8e2e824cfb9b6118ac2,1
Ethereum,0xea1a6307d9b18f8d1cbf1c3dd6aad8416c06a221,1
Ethereum,0x7dedbce5a2e31e4c75f87fea60bf796c17718715,1
Ethereum,0x4405c0b330db66dffc40c8bcc616e447505af0f8,1
Ethereum,0x00000000005bbb0ef59571e58418f9a4357b68a0,3
Ethereum,0x215a61dead7e1303b8571bb429491aeac5f2061e,1
BinanceSmartChain,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,3
BinanceSmartChain,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,4
BinanceSmartChain,0x55d398326f99059ff775485246999027b3197955,1
BinanceSmartChain,0x473dd4cae595a0dc5dcdf2edb6077ec01f8f1715,1
BinanceSmartChain,0x34294afabcbaffc616ac6614f6d2e17260b78bed,1
BinanceSmartChain,0x36cc29cd24d55fe8e56532a0fcc13978bf9f7293,2
BinanceSmartChain,0x44eb0f1ce777394564070f9e50dd8784fcdb7e6a,2
BinanceSmartChain,0x8ea5219a16c2dbf1d6335a6aa0c6bd45c50347c5,1
BinanceSmartChain,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,1
BinanceSmartChain,0xa400a9a00bd1b7ca90bbc5f8db0d3d723da8d72c,1
BinanceSmartChain,0x3335733c454805df6a77f825f266e136fb4a3333,1
Polygon,0x754e78bc0f7b487d304552810a5254497084970c,1
Polygon,0xe8b6395d223c9d3d85e162f2cb2023bc9088a908,3
Polygon,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,6
Polygon,0xfd225c9e6601c9d38d8f98d8731bf59efcf8c0e3,1
Arbitrum,0x00000000ede6d8d217c60f93191c060747324bca,5
Arbitrum,0x004626a008b1acdc4c74ab51644093b155e59a23,1
Arbitrum,0xbb5032d20b689d9ee69a7c490bd02fc9efc734c2,2
Arbitrum,0x99d4e80db0c023eff8d25d8155e0dcfb5addec5e,15
Arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,4
Arbitrum,0x5422aa06a38fd9875fc2501380b40659feebd3bb,7
Arbitrum,0xd7ef5ac7fd4aaa7994f3bc1d273eab1d1013530e,4
Arbitrum,0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,8
