contract_address,chain,protocol,method_id,method,unique_executions,%,cum %,,,,,,,,,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,uniswap,0x3593564c,swap,469,1.17%,1.17%,,,,,,,,,,191752
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,weth,0xd0e30db0,-,205,0.51%,1.68%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x54e3f31b,swap,183,0.46%,2.14%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x12aa3caf,swap,181,0.45%,2.59%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,arb,1inch,0x12aa3caf,swap,168,0.42%,3.01%,,,,,,,,,,
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,bsc,pancakeswap,0x5ae401dc,multicall,155,0.39%,3.39%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0x00000000,fulfill order,153,0.38%,3.78%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xf2d12b12,fulfill order,148,0.37%,4.15%,,,,,,,,,,
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,arb,uniswap,0x3593564c,swap,148,0.37%,4.51%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0xa94e78ef,?,147,0.37%,4.88%,,,,,,,,,,
0xec2432a227440139ddf1044c3fea7ae03203933e,eth,blur holding,0xc3a086d0,-,144,0.36%,5.24%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x0502b1c5,swap,140,0.35%,5.59%,,,,,,,,,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,arb,uniswap,0x3593564c,swap,139,0.35%,5.94%,,,,,,,,,,
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x70bce2d6,-,131,0.33%,6.26%,,,,,,,,,,
0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,eth,blast,0xf6326fb3,bridge,130,0.32%,6.59%,,,,,,,,,,
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0xda815cb5,-,129,0.32%,6.91%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0xe449022e,swap,120,0.30%,7.21%,,,,,,,,,,
0xbf22f0f184bccbea268df387a49ff5238dd23e40,arb,stargate,0x1114cd2a,swap,119,0.30%,7.51%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,arb,1inch,0xe449022e,swap,113,0.28%,7.79%,,,,,,,,,,
0x49048044d57e1c92a77f79988d21fa8faf74e97e,eth,base bridge,0xe9e05c42,bridge,111,0.28%,8.06%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xfd9f1e10,cancel,108,0.27%,8.33%,,,,,,,,,,
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x7ff36ab5,swap,108,0.27%,8.60%,,,,,,,,,,
0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,eth,manta,0x8b886bf2,bridge,100,0.25%,8.85%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0xd9627aa4,?,98,0.24%,9.10%,,,,,,,,,,
0x0000000000a39bb272e79075ade125fd351887ac,eth,blur bidding,0xd0e30db0,-,96,0.24%,9.34%,,,,,,,,,,
0x53bf833a5d6c4dda888f69c22c88c9f356a41614,arb,stargate,0x9fbf10fc,bridge swap,94,0.23%,9.57%,,,,,,,,,,
0x881d40237659c251811cec9c364ef91dc08d300c,eth,metaswap,0x5f575529,swap,83,0.21%,9.78%,,,,,,,,,,
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x7034d120,-,79,0.20%,9.97%,,,,,,,,,,
0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,arb,synapse,0xc2288147,bridge,79,0.20%,10.17%,,,,,,,,,,
0x0000000000c2d145a2526bd8c716263bfebe1a72,eth,seaport,0x32389b71,-,78,0.19%,10.37%,,,,,,,,,,
0x3a23f943181408eac424116af7b7790c94cb97a5,arb,socket,0x00000184,?,78,0.19%,10.56%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0x0b86a4c1,?,77,0.19%,10.75%,,,,,,,,,,
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x3f8fc233,-,77,0.19%,10.95%,,,,,,,,,,
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x791ac947,swap,76,0.19%,11.13%,,,,,,,,,,
0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,zksync,?,0x2cc4081e,?,75,0.19%,11.32%,,,,,,,,,,
0x09bd2a33c47746ff03b86bce4e885d03c74a8e8c,arb,sushiswap,0x2646478b,swap,72,0.18%,11.50%,,,,,,,,,,
0x0c6134abc08a1eafc3e2dc9a5ad023bb08da86c3,arb,firebird,0x7c025200,swap,72,0.18%,11.68%,,,,,,,,,,
0x150f94b44927f078737562f0fcf3c95c01cc2376,eth,stargate,0x1114cd2a,swap,71,0.18%,11.86%,,,,,,,,,,
0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,bsc,stargate,0x9fbf10fc,bridge swap,71,0.18%,12.04%,,,,,,,,,,
0x3154cf16ccdb4c6d922629664174b904d80f2c35,eth,base bridge,0x9a2ac6d5,bridge,71,0.18%,12.21%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,arb,0x,0x415565b0,swap,70,0.17%,12.39%,,,,,,,,,,
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x3925c3c3,-,70,0.17%,12.56%,,,,,,,,,,
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,arb,kyberswap,0xe21fd0e9,swap,69,0.17%,12.73%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x803ba26d,?,69,0.17%,12.91%,,,,,,,,,,
0x8d0802559775c70fb505f22988a4fd4a4f6d3b62,eth,eigenworlds,0xd85d3d27,mint,68,0.17%,13.08%,,,,,,,,,,
0xf6d1b85af155229acd7b523601148585a1ff67c6,matic,galxe,0x2e4dbe8f,claim,68,0.17%,13.24%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x46c67b6d,?,67,0.17%,13.41%,,,,,,,,,,
0x50b6ebc2103bfec165949cc946d739d5650d7ae4,base,stargate,0x1114cd2a,swap,66,0.16%,13.58%,,,,,,,,,,
0xfcd3842f85ed87ba2889b4d35893403796e67ff1,base,leetswap,0x18cbafe5,swap,66,0.16%,13.74%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x3598d8ab,?,66,0.16%,13.91%,,,,,,,,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,arb,1inch,0x7c025200,swap,65,0.16%,14.07%,,,,,,,,,,
