contract_address,chain,protocol,method_id,method,avg_non_null_user_balance,unique_executions,%,cum %
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,,0x3593564c,,120220.412,369,1.38%,1.38%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0x095ea7b3,,304227.396,248,0.93%,2.32%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0xa9059cbb,,647399.13,247,0.93%,3.24%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0x095ea7b3,,317442.441,197,0.74%,3.98%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x095ea7b3,,311938.762,195,0.73%,4.71%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,,0x095ea7b3,,175449.887,186,0.70%,5.41%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x2e1a7d4d,,160643.908,160,0.60%,6.01%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0xa9059cbb,,317614.728,160,0.60%,6.61%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0xd0e30db0,,347079.393,156,0.59%,7.20%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0xa9059cbb,,358213.331,144,0.54%,7.74%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0x095ea7b3,,385336.165,138,0.52%,8.26%
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,arb,,0x3593564c,,174982.21,137,0.51%,8.77%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,,0x54e3f31b,,369598.527,134,0.50%,9.27%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,,0x095ea7b3,,206829.471,134,0.50%,9.78%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0x12aa3caf,,380840.535,132,0.50%,10.27%
0x0000000000a39bb272e79075ade125fd351887ac,eth,,0x2e1a7d4d,,365852.306,130,0.49%,10.76%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0xe449022e,,409233.622,122,0.46%,11.22%
0x1111111254eeb25477b68fb85ed929f73a960582,arb,,0x12aa3caf,,380840.535,120,0.45%,11.67%
0x55d398326f99059ff775485246999027b3197955,bsc,,0x095ea7b3,,212856.444,119,0.45%,12.11%
