contract_address,chain,protocol,method_id,method,avg_non_null_user_balance,unique_executions,%,cum %
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,eth,,0x3593564c,,124644.1035,383,1.04%,1.04%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0x095ea7b3,,349707.225,270,0.73%,1.77%
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,,0xa9059cbb,,549954.587,250,0.68%,2.44%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0x095ea7b3,,311763.306,227,0.61%,3.05%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x095ea7b3,,353046.3749,221,0.60%,3.65%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0xa9059cbb,,327993.6838,179,0.48%,4.14%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0x2e1a7d4d,,445000.4726,166,0.45%,4.58%
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth,,0xd0e30db0,,459763.0515,166,0.45%,5.03%
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arb,,0xa9059cbb,,173411.2367,164,0.44%,5.48%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,,0x095ea7b3,,221239.3192,164,0.44%,5.92%
0xdac17f958d2ee523a2206206994597c13d831ec7,eth,,0x095ea7b3,,405963.5755,162,0.44%,6.36%
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,base,,0x3593564c,,124644.1035,151,0.41%,6.77%
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,arb,,0x095ea7b3,,244300.5226,151,0.41%,7.17%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,,0xe449022e,,427128.3733,142,0.38%,7.56%
0x55d398326f99059ff775485246999027b3197955,bsc,,0x095ea7b3,,218495.7383,140,0.38%,7.94%
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,bsc,,0x5ae401dc,,127152.331,135,0.36%,8.30%
0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,eth,,0xba1f77e8,,534472.2735,131,0.35%,8.66%
